City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,San Cristobal,VE,2022-05-08 14:12:01,7.7669,-72.225,79.34,56,64,5.41
211,Richards Bay,ZA,2022-05-08 14:12:01,-28.783,32.0377,70.81,74,98,13.38
212,Matay,EG,2022-05-08 14:12:02,28.419,30.7792,95.9,11,92,1.5
213,Kashi,CN,2022-05-08 14:12:02,39.4547,75.9797,79.59,17,0,7.81
214,Cherskiy,RU,2022-05-08 14:12:03,68.75,161.3,8.85,96,99,3.8
215,Sigiriya,LK,2022-05-08 14:12:03,7.9518,80.7426,80.37,81,100,12.3
216,Vao,NC,2022-05-08 14:12:04,-22.6667,167.4833,73.92,61,85,15.73
217,Arcata,US,2022-05-08 14:09:02,40.8665,-124.0828,44.92,73,100,4.61
218,Pacific Grove,US,2022-05-08 14:12:04,36.6177,-121.9166,50.09,85,13,15.99
219,Prince Albert,CA,2022-05-08 14:09:58,53.2001,-105.7677,42.66,65,100,12.97
220,Quatre Cocos,MU,2022-05-08 14:12:05,-20.2078,57.7625,76.08,81,20,11.1
221,Pangnirtung,CA,2022-05-08 14:12:05,66.1451,-65.7125,23.58,77,7,2.77
222,Itaqui,BR,2022-05-08 14:12:06,-29.1253,-56.5531,66.51,74,56,7.7
223,Saldanha,ZA,2022-05-08 14:12:06,-33.0117,17.9442,60.39,57,33,7.54
224,Mount Gambier,AU,2022-05-08 14:12:07,-37.8333,140.7667,42.71,100,16,0.0
225,Polyarnyy,RU,2022-05-08 14:12:07,69.1989,33.4478,35.85,51,99,12.62
226,Paracuru,BR,2022-05-08 14:12:08,-3.41,-39.0306,81.1,88,100,9.28
227,Saint-Joseph,RE,2022-05-08 14:05:23,-21.3667,55.6167,79.18,79,38,6.4
228,Ranibennur,IN,2022-05-08 14:12:08,14.6167,75.6167,83.86,62,100,18.99
229,Margate,GB,2022-05-08 14:13:09,51.3813,1.3862,60.12,65,0,5.99
230,Cotonou,BJ,2022-05-08 14:13:09,6.3654,2.4183,86.45,69,98,12.12
231,Mbekenyera,TZ,2022-05-08 14:13:09,-10.0,38.9833,78.84,79,29,3.98
232,Pochutla,MX,2022-05-08 14:13:10,15.7432,-96.4661,78.82,43,18,1.39
233,Diamantino,BR,2022-05-08 14:08:53,-14.4086,-56.4461,81.37,36,5,5.06
234,Porto Torres,IT,2022-05-08 14:13:10,40.835,8.3972,71.78,64,97,14.52
235,Algeciras,ES,2022-05-08 14:11:50,36.1333,-5.4505,67.68,73,20,9.22
236,Bayir,TR,2022-05-08 14:13:11,37.2687,28.2167,68.52,36,37,10.58
237,Hobe Sound,US,2022-05-08 14:13:11,27.0595,-80.1364,82.98,75,75,11.5
238,Geraldton,AU,2022-05-08 14:13:12,-28.7667,114.6,61.21,88,40,6.91
239,Constitucion,CL,2022-05-08 14:13:12,-35.3333,-72.4167,55.96,80,59,0.56
240,Tarifa,ES,2022-05-08 14:13:13,36.0139,-5.607,80.62,67,0,13.2
241,Bengkulu,ID,2022-05-08 14:13:13,-3.8004,102.2655,79.77,80,97,2.42
242,Khuzhir,RU,2022-05-08 14:12:18,53.1939,107.3397,38.5,83,100,7.78
243,Tuatapere,NZ,2022-05-08 14:13:14,-46.1333,167.6833,52.0,95,63,3.29
244,Pahrump,US,2022-05-08 14:13:14,36.2083,-115.9839,62.65,33,2,11.99
245,Katangli,RU,2022-05-08 14:13:15,51.7102,143.2326,31.06,99,100,10.29
246,Hobyo,SO,2022-05-08 14:13:15,5.3505,48.5268,85.08,75,85,18.9
247,Nosy Varika,MG,2022-05-08 14:13:16,-20.5833,48.5333,77.77,81,16,9.06
248,Bucak,TR,2022-05-08 14:13:16,37.4592,30.595,72.12,27,6,4.59
249,Tsaratanana,MG,2022-05-08 14:13:17,-16.7833,47.65,81.88,61,89,4.32
250,Svetlogorsk,BY,2022-05-08 14:13:17,52.6333,29.7333,62.92,65,73,8.01
251,Nata,PA,2022-05-08 14:13:18,8.3333,-80.5167,82.27,71,20,3.06
252,Qasigiannguit,GL,2022-05-08 14:13:18,68.8193,-51.1922,28.65,78,8,2.73
253,Nokaneng,BW,2022-05-08 14:13:19,-19.6667,22.2667,85.71,14,0,8.08
254,Svetlyy,RU,2022-05-08 14:13:19,54.675,20.1347,55.45,65,43,12.91
255,Lichuan,CN,2022-05-08 14:13:20,30.3,108.85,57.16,96,1,4.03
256,Hovd,MN,2022-05-08 14:05:32,48.0056,91.6419,42.89,53,71,9.44
257,Cabo San Lucas,MX,2022-05-08 14:10:09,22.8909,-109.9124,78.51,58,91,12.66
258,Samarai,PG,2022-05-08 14:13:20,-10.6167,150.6667,82.49,81,82,14.0
