City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Mattru,SL,79.86,Clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
592,Belmonte,BR,75.7,Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
595,Dubai,AE,89.85,Clear,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
599,Olinda,BR,83.93,Clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
600,San Diego De La Union,MX,82.98,Clear,21.4667,-100.8667,Marcos González rojas
603,Trincomalee,LK,84.06,Clouds,8.5711,81.2335,Welcombe Hotel
604,Luanda,AO,78.82,Clouds,-8.8368,13.2343,EPIC SANA Luanda
611,Kupang,ID,79.57,Clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
612,Kota Belud,MY,77.5,Rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
617,Naica,MX,85.66,Clear,27.85,-105.4833,Departamentos Nicole
622,Rameswaram,IN,86.59,Rain,9.2833,79.3,Daiwik Hotels Rameswaram
626,Sechura,PE,77.61,Clouds,-5.5569,-80.8222,Hospedaje Costa Bella
627,Azuaga,ES,78.1,Clouds,38.2667,-5.6833,Casa Rural La Hoya
628,Quatre Cocos,MU,75.31,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
631,Puerto Rico,AR,77.07,Clear,-26.796,-55.024,Hotel Cabañas del Prado
633,Caravelas,BR,76.28,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
637,Freetown,SL,82.11,Clouds,8.484,-13.2299,The Country Lodge Hotel
639,Kampot,KH,82.45,Clouds,10.6167,104.1833,Two Moons Hotel
640,Bubaque,GW,77.45,Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
647,Bireun,ID,78.19,Rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
649,Banes,CU,89.62,Clear,20.9625,-75.7186,Hostal Iván y yailet
653,Padang,ID,78.85,Clouds,-0.9492,100.3543,Mercure Padang
655,Truth Or Consequences,US,80.91,Clear,33.1284,-107.2528,Charles Motel
657,Alexandria,EG,81.14,Clouds,31.2156,29.9553,Royal Crown Hotel
660,Urucara,BR,78.87,Rain,-2.5364,-57.76,Pousada Maria Bonita
664,Mimoso Do Sul,BR,77.65,Clouds,-21.0642,-41.3664,Mimoso Plaza Hotel
665,Woodward,US,79.97,Clear,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
670,Puerto Escondido,MX,88.57,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
673,Rock Sound,BS,79.93,Clear,24.9,-76.2,Pink Corral Bay Property
676,Lora Del Rio,ES,87.75,Clouds,37.659,-5.5275,Autocares Molina Fernandez S.L.
684,Chavakkad,IN,84.16,Rain,10.5333,76.05,Rajah Island
694,Mabaruma,GY,80.44,Clouds,8.2,-59.7833,Monty Brooms Guest House
700,Ratnagiri,IN,83.16,Clouds,16.9833,73.3,Hotel Landmark
702,Santa Rosa,PH,85.1,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
705,Meulaboh,ID,78.42,Rain,4.1363,96.1285,Kost Pria
716,Narasaraopet,IN,84.81,Clouds,16.25,80.0667,AT International Lodge
